"Order Id","Order Date","Note","Added By","Added On"
"307253","06-Feb-2019 02:15:33 PM","","",""
" "," ","10% deposit paid on order and the balance to be paid on delivery.","","07-Feb-2019 11:09:41 AM"
"307300","07-Feb-2019 10:51:40 AM","","",""
" "," ","incorrect email address needs to contact Close Bros to change with them. awaiting approval","Mr.Andrew Ball","07-Feb-2019 02:52:43 PM"
"307308","07-Feb-2019 12:55:34 PM","","",""
" "," ","taken 10% deposit £62.80 auth code 252155","Mr.Andrew Ball","07-Feb-2019 02:22:46 PM"
"307591","14-Feb-2019 11:38:21 AM","","",""
" "," ","full payment taken, extra £25 taken for removal of old chair","Mr.Andrew Ball","14-Feb-2019 11:42:53 AM"
