"Order Id","Order Date","Note","Added By","Added On"
"314847","07-Aug-2019 06:44:56 PM","","",""
" "," ","Scooter Despatched Direct to the customer by Electric Mobility","","09-Aug-2019 01:24:00 PM"
"315041","12-Aug-2019 02:13:39 PM","","",""
" "," ","Batteries for a Pride GoGo Elite Traveller 12AH","","12-Aug-2019 02:17:09 PM"
" "," ","Batteries to fit a Pride GoGo Elite Traveller 12v 12AH mobility scooter.","","12-Aug-2019 02:22:33 PM"
"315430","20-Aug-2019 08:08:58 PM","","",""
" "," ","Paid £80 by phone against engineered delivery upgrade","","23-Aug-2019 11:29:19 AM"
